,Px,Py,Pz,Qx,Qy,Qz
35,-0.06805555555555558,-0.25,1.1055902777777775,-0.06805555555555558,0.25,1.1055902777777775
36,-0.06530612244897958,-0.24999999999999997,1.1065306122448977,-0.06530612244897958,0.24999999999999997,1.1065306122448977
37,-0.06261337868480726,-0.25,1.1074270124716552,-0.06261337868480726,0.25,1.1074270124716552
38,-0.05997732426303856,-0.25,1.1082794784580499,-0.05997732426303856,0.25,1.1082794784580499
39,-0.05739795918367349,-0.25000000000000006,1.1090880102040817,-0.05739795918367349,0.25000000000000006,1.1090880102040817
40,-0.054875283446712025,-0.25,1.1098526077097504,-0.054875283446712025,0.25,1.1098526077097504
41,-0.05240929705215419,-0.25,1.1105732709750566,-0.05240929705215419,0.25,1.1105732709750566
42,-0.05,-0.25,1.11125,-0.05,0.25,1.11125
43,-0.047647392290249446,-0.25,1.1118827947845804,-0.047647392290249446,0.25,1.1118827947845804
44,-0.04535147392290251,-0.25,1.112471655328798,-0.04535147392290251,0.25,1.112471655328798
45,-0.04311224489795919,-0.25,1.113016581632653,-0.04311224489795919,0.25,1.113016581632653
46,-0.04092970521541951,-0.25,1.1135175736961451,-0.04092970521541951,0.25,1.1135175736961451
47,-0.03880385487528345,-0.25,1.1139746315192744,-0.03880385487528345,0.25,1.1139746315192744
48,-0.03673469387755103,-0.25,1.1143877551020407,-0.03673469387755103,0.25,1.1143877551020407
49,-0.03472222222222223,-0.25,1.1147569444444445,-0.03472222222222223,0.25,1.1147569444444445
50,-0.032766439909297056,-0.25,1.1150821995464852,-0.032766439909297056,0.25,1.1150821995464852
51,-0.03086734693877552,-0.25,1.1153635204081633,-0.03086734693877552,0.25,1.1153635204081633
52,-0.029024943310657594,-0.25,1.1156009070294783,-0.029024943310657594,0.25,1.1156009070294783
53,-0.027239229024943315,-0.25,1.1157943594104307,-0.027239229024943315,0.25,1.1157943594104307
54,-0.025510204081632668,-0.25,1.1159438775510204,-0.025510204081632668,0.25,1.1159438775510204
55,-0.023837868480725624,-0.25,1.1160494614512473,-0.023837868480725624,0.25,1.1160494614512473
56,-0.022222222222222227,-0.25,1.116111111111111,-0.022222222222222227,0.25,1.116111111111111
57,-0.02066326530612246,-0.25,1.1161288265306122,-0.02066326530612246,0.25,1.1161288265306122
58,-0.019160997732426306,-0.25,1.1161026077097507,-0.019160997732426306,0.25,1.1161026077097507
59,-0.017715419501133794,-0.25,1.116032454648526,-0.017715419501133794,0.25,1.116032454648526
60,-0.01632653061224491,-0.25,1.1159183673469388,-0.01632653061224491,0.25,1.1159183673469388
61,-0.01499433106575964,-0.25,1.1157603458049887,-0.01499433106575964,0.25,1.1157603458049887
62,-0.013718820861678012,-0.25,1.115558390022676,-0.013718820861678012,0.25,1.115558390022676
63,-0.0125,-0.25,1.1153125,-0.0125,0.25,1.1153125
64,-0.011337868480725627,-0.25,1.1150226757369615,-0.011337868480725627,0.25,1.1150226757369615
65,-0.010232426303854883,-0.25,1.1146889172335601,-0.010232426303854883,0.25,1.1146889172335601
66,-0.009183673469387758,-0.25,1.114311224489796,-0.009183673469387758,0.25,1.114311224489796
67,-0.008191609977324269,-0.25,1.1138895975056688,-0.008191609977324269,0.25,1.1138895975056688
68,-0.007256235827664399,-0.25,1.1134240362811791,-0.007256235827664399,0.25,1.1134240362811791
69,-0.006377551020408167,-0.25,1.1129145408163266,-0.006377551020408167,0.25,1.1129145408163266
70,-0.005555555555555561,-0.25,1.1123611111111114,-0.005555555555555561,0.25,1.1123611111111114
71,-0.0047902494331065765,-0.25,1.1117637471655328,-0.0047902494331065765,0.25,1.1117637471655328
72,-0.0040816326530612275,-0.25,1.111122448979592,-0.0040816326530612275,0.25,1.111122448979592
73,-0.0034297052154195064,-0.25,1.110437216553288,-0.0034297052154195064,0.25,1.110437216553288
74,-0.0028344671201814067,-0.25,1.1097080498866214,-0.0028344671201814067,0.25,1.1097080498866214
75,-0.0022959183673469416,-0.25,1.1089349489795919,-0.0022959183673469416,0.25,1.1089349489795919
76,-0.0018140589569161038,-0.25,1.1081179138321997,-0.0018140589569161038,0.25,1.1081179138321997
77,-0.0013888888888888902,-0.25,1.1072569444444444,-0.0013888888888888902,0.25,1.1072569444444444
